TANK,EDITION,DIVISION,CLASS,TOCR,TDCR,TCR,STARS,RARITY,OPERATOR
M4A3E2 Jumbo,1. Starter,IZ,H,17.5,15.5,16.5,1.5,UC,Heurican Federation
Ratel 90,Aureate Aegis Exp,AA,IFV,20,13,16.5,1.5,UC,Musabligh
2S4 Tyulpan,Red Star Exp,RS,SPH,22,12,17,2,UC,Armatan Union
M26 Pershing,1. Starter,IZ,M,19,16,17.5,2,C,Heurican Federation
IS-3,Red Star Exp,RS,H,11.5,23.5,17.5,2,C,Armatan Union
T-44-100,Red Star Exp,RS,M,17.5,17.5,17.5,2,VR,Armatan Union
FV4005,1. Starter,FT,TD,22.75,12.75,17.75,2,VR,Kingdom of Chalwick
T28,1. Starter,IZ,SH,12,24,18,2,VR,Heurican Federation
JPz 4-5,Aureate Aegis Exp,AA,TD,23,13,18,2,UC,Leoschland
ST-A1,Eclipse Dragon Exp,ED,MBT,20.5,15.5,18,2,VR,Sakurata
Conway,Frost Titan Exp,FT,TD,16.5,19.5,18,2,VR,Kingdom of Chalwick
Tiger E,Patreon,AA,H,17.5,18.5,18,2,C,Leoschland
IS-6,Red Star Exp,RS,H,14.5,21.5,18,2,VR,Armatan Union
TOG II,1. Starter,FT,SH,17,19.5,18.25,2,VR,Kingdom of Chalwick
M109A1 Paladin,1. Starter,IZ,SPH,24.5,12.5,18.5,2,C,Heurican Federation
IS-4M,Red Star Exp,RS,H,12.5,24.5,18.5,2,UC,Armatan Union
SU-122-54,Red Star Exp,RS,TD,21,16,18.5,2,R,Armatan Union
FV4202,Frost Titan Exp,FT,MBT,20,18,19,2,VR,Kingdom of Chalwick
Tortoise,Frost Titan Exp,FT,TD,16,22,19,2,VR,Kingdom of Chalwick
FV4007 Centurion Mk 2,1. Starter,FT,MBT,20.5,18.5,19.5,2,UC,Kingdom of Chalwick
T32E1,Iron Zephyr Exp,IZ,H,14.5,24.5,19.5,2,VR,Heurican Federation
PT-76E,Red Star 2020s,RS,L,28,12.5,20.25,2.5,C,Armatan Union
FV4007 Centurion Mk 3,Frost Titan Exp,FT,MBT,21.5,19.5,20.5,2.5,C,Kingdom of Chalwick
Object 268,Red Star Exp,RS,TD,23,18,20.5,2.5,VR,Armatan Union
T29,Iron Zephyr Exp,IZ,H,20.5,21.5,21,2.5,VR,Heurican Federation
T30,Iron Zephyr Exp,IZ,H,20.5,22.5,21.5,2.5,VR,Heurican Federation
T34,Iron Zephyr Exp,IZ,H,19.5,23.5,21.5,2.5,VR,Heurican Federation
Bkan 1C,Frost Titan Exp,FT,SPH,30,14.5,22.25,2.5,R,Vritsda
M103,Iron Zephyr Exp,IZ,H,23.5,21.5,22.5,2.5,UC,Heurican Federation
IT-1,Red Star Exp,RS,TD,27.5,18,22.75,2.5,UC,Armatan Union
Object 685,Red Star Exp,RS,L,33,12.5,22.75,2.5,VR,Armatan Union
T-62,Red Star Exp,RS,MBT,23.5,22,22.75,2.5,C,Armatan Union
BMP-1,Red Star Exp,RS,IFV,32,14.5,23.25,3,C,Armatan Union
AMX-30,Aureate Aegis Exp,AA,MBT,27.5,20,23.75,3,C,Lerulce
Leopard 1,Aureate Aegis Exp,AA,MBT,30,19,24.5,3,C,Leoschland
2A3 Kondensator 2P,Red Star: Lyubov,RS,SPH,31.5,17.5,24.5,3,VR,Armatan Union
BMP-2,Red Star Exp,RS,IFV,34.5,15,24.75,3,C,Armatan Union
Centurion Mk 10,Frost Titan Exp,FT,MBT,29.5,20.5,25,3,UC,Kingdom of Chalwick
Object 906,Red Star Exp,RS,L,29,21.5,25.25,3,VR,Armatan Union
T-10M,Red Star Exp,RS,H,24.5,27,25.75,3,UC,Armatan Union
T-55A,Red Star Exp,RS,MBT,30.5,21,25.75,3,C,Armatan Union
OF-40,Aureate Aegis Exp,AA,MBT,31,21,26,3.5,R,Iretos
IS-7,Red Star Exp,RS,H,25.5,27.5,26.5,3.5,VR,Armatan Union
Stridsvagn 105,Frost Titan Exp,FT,MBT,31.5,24.5,28,3.5,R,Vritsda
Object 279,Red Star Exp,RS,H,28.5,28,28.25,3.5,VR,Armatan Union
Leopard 1A5,Aureate Aegis Exp,AA,MBT,36,21,28.5,3.5,C,Leoschland
OF-40 Mk. 2A,Aureate Aegis Exp,AA,MBT,36,22,29,3.5,R,Iretos
T-62M-1,Red Star Exp,RS,MBT,29.5,30,29.75,3.5,UC,Armatan Union
T-64A,Red Star Exp,RS,MBT,34.5,27,30.75,4,C,Armatan Union
KPz-70,Aureate Aegis Exp,AA,MBT,39,24,31.5,4,R,Leoschland
T-72A,Red Star Exp,RS,MBT,35.5,30,32.75,4,C,Armatan Union
M60A3 TTS,Iron Zephyr Exp,IZ,MBT,38.5,28.5,33.5,4.5,C,Heurican Federation
T-64B,Red Star Exp,RS,MBT,35.5,33,34.25,4.5,C,Armatan Union
M1A1 Abrams,Iron Zephyr Exp,IZ,MBT,38,34.5,36.25,4.5,C,Heurican Federation
T-80B,Red Star Exp,RS,MBT,38,34.5,36.25,4.5,C,Armatan Union
Leopard 2A4,Aureate Aegis Exp,AA,MBT,38,35,36.5,4.5,C,Leoschland
T-80U,Red Star Exp,RS,MBT,38,37.5,37.75,5,UC,Armatan Union
Leopard 2A5,Aureate Aegis Exp,AA,MBT,39,38,38.5,5,UC,Leoschland
Leopard 2A6,Aureate Aegis 2000s,AA,MBT,40,39,39.5,5,UC,Leoschland
Challenger 2,Iron Zephyr Exp,IZ,MBT,38,42.5,40.25,5,UC,Kingdom of Chalwick
